task,method_a,method_b,n_common_datasets,frac_A_faster,frac_A_better_loss,frac_A_dominates_both,frac_tie_speed,frac_tie_loss,wilcoxon_speed_diff_pvalue,wilcoxon_loss_diff_pvalue,loss_column
regression,block_rank|,secretary_all|1overe,113,0.9557522123893806,0.09734513274336283,0.07079646017699115,0.0,0.04424778761061947,1.6945512336865288e-19,6.457918566349719e-15,loss_rmse_bounded_median
regression,block_rank|,secretary|1overe,113,1.0,0.1504424778761062,0.1504424778761062,0.0,0.035398230088495575,2.803208638992356e-20,6.440954373656931e-13,loss_rmse_bounded_median
regression,block_rank|,double_secretary|1overe,113,0.9911504424778761,0.08849557522123894,0.07964601769911504,0.0,0.02654867256637168,2.8791524806838974e-20,5.362063552790723e-15,loss_rmse_bounded_median
regression,block_rank|,prophet_1sample|,113,1.0,0.08849557522123894,0.08849557522123894,0.0,0.035398230088495575,2.803208638992356e-20,2.2769944042530805e-17,loss_rmse_bounded_median
regression,secretary_all|1overe,prophet_1sample|,113,0.9911504424778761,0.13274336283185842,0.13274336283185842,0.0,0.035398230088495575,2.8791524806838974e-20,3.4853182486834753e-16,loss_rmse_bounded_median
classification_gini,block_rank|,secretary_all|1overe,122,0.7049180327868853,0.28688524590163933,0.1557377049180328,0.0,0.10655737704918032,4.1583837626886675e-09,5.413782954858735e-07,loss_f1_median
classification_gini,block_rank|,secretary|1overe,122,0.19672131147540983,0.4098360655737705,0.04918032786885246,0.0,0.02459016393442623,7.03034919301317e-07,0.003082176473713881,loss_f1_median
classification_gini,block_rank|,double_secretary|1overe,122,0.9016393442622951,0.3114754098360656,0.27049180327868855,0.0,0.02459016393442623,7.33654683583352e-19,5.09952231027451e-07,loss_f1_median
classification_gini,block_rank|,prophet_1sample|,122,0.9836065573770492,0.21311475409836064,0.20491803278688525,0.0,0.02459016393442623,1.2126645401495566e-21,5.103624217750823e-12,loss_f1_median
classification_gini,secretary_all|1overe,prophet_1sample|,122,0.9426229508196722,0.28688524590163933,0.27049180327868855,0.0,0.02459016393442623,3.4836401065604156e-21,2.526207689361129e-08,loss_f1_median
classification_entropy,block_rank|,secretary_all|1overe,122,0.6885245901639344,0.22131147540983606,0.10655737704918032,0.0,0.10655737704918032,6.118173366176391e-08,6.7479233685568365e-09,loss_f1_median
classification_entropy,block_rank|,secretary|1overe,122,0.21311475409836064,0.36065573770491804,0.040983606557377046,0.0,0.02459016393442623,1.1388609860406478e-06,0.0001313511045198923,loss_f1_median
classification_entropy,block_rank|,double_secretary|1overe,122,0.8688524590163934,0.27049180327868855,0.2459016393442623,0.0,0.02459016393442623,5.152803636475622e-18,1.8535009925861032e-07,loss_f1_median
classification_entropy,block_rank|,prophet_1sample|,122,0.9344262295081968,0.1885245901639344,0.18032786885245902,0.0,0.02459016393442623,7.76655364211385e-21,3.0747859824125474e-12,loss_f1_median
classification_entropy,secretary_all|1overe,prophet_1sample|,122,0.9508196721311475,0.30327868852459017,0.27049180327868855,0.0,0.02459016393442623,4.66662715055269e-21,2.0714153932999924e-08,loss_f1_median
