task,method,centroid_time_saved_%,median_effort_saved_%,median_loss_%,p90_loss_%,P(loss≤5%),P(speedup≥20%)
Regression,best,0,0,0,0,1,0
Regression,block-rank,60.46,90.76,31.91,55.32,0.1593,0.9469
Regression,S^2 (0.1n),34.67,46.32,8.659,27.51,0.3805,0.8584
Regression,S^2 (n/e),5.459,1.883,1.752,6.717,0.8142,0.00885
Regression,S^2 (ln(n)),28.84,29.76,6.328,21.74,0.3805,0.823
Regression,S^2 (sqrt(n)),27.6,29.19,8.113,30.8,0.4159,0.6637
Regression,ERT (mtry=1),71.05,98.93,36.67,60.56,0.115,0.9646
Regression,ERT (mtry=p/3),66.59,96.7,28.37,44.54,0.1504,0.9646
Regression,ERT (mtry=2p/3),60.5,92.95,15.23,28.98,0.2212,0.9558
Regression,ERT (mtry=p),54.04,88.8,8.462,16.29,0.354,0.9027
Regression,prophet-1sample,30.13,58.38,6.432,15.47,0.4336,0.7434
Regression,S (0.1n),45.21,72.48,15.53,35.02,0.2832,0.885
Regression,S (n/e),15.67,46.85,3.881,10.55,0.5929,0.4425
Regression,S (ln(n)),40.02,63.68,11.91,29.25,0.292,0.8673
Regression,S (sqrt(n)),39.2,62.81,12.51,38.25,0.3097,0.8761
Regression,S_all (0.1n),37.53,50.93,9.382,26.85,0.3717,0.8319
Regression,S_all (n/e),16.44,17.42,1.812,6.642,0.8319,0.4248
Regression,S_all (ln(n)),33.86,37.69,6.321,21.67,0.3805,0.8584
Regression,S_all (sqrt(n)),34.52,40.29,8.482,30.21,0.4159,0.8319
Classification (Gini),best,0,0,0,0,1,0
Classification (Gini),block-rank,45.89,71.89,2.675,14.64,0.6393,0.7377
Classification (Gini),S^2 (0.1n),29.93,34.31,0.4543,2.968,0.9672,0.6557
Classification (Gini),S^2 (n/e),6.132,-1.1,0.04524,1.091,0.9918,0.02459
Classification (Gini),S^2 (ln(n)),26.89,26.97,0.4257,2.426,0.9836,0.582
Classification (Gini),S^2 (sqrt(n)),30.63,23.17,0.5475,2.719,0.9508,0.5902
Classification (Gini),ERT (mtry=1),54.19,96.34,4.573,21.93,0.5246,0.8033
Classification (Gini),ERT (mtry=p/3),49.04,89.25,1.736,7.923,0.7787,0.7787
Classification (Gini),ERT (mtry=2p/3),43.69,84.1,1.006,3.803,0.9344,0.7377
Classification (Gini),ERT (mtry=p),38.14,84.57,0.291,2.598,0.9672,0.623
Classification (Gini),prophet-1sample,16.64,41.5,0.02972,1.82,0.9836,0.418
Classification (Gini),S (0.1n),35.8,60.17,0.7056,4.316,0.918,0.6885
Classification (Gini),S (n/e),10.89,42.45,0.1013,1.722,0.9918,0.3607
Classification (Gini),S (ln(n)),33.13,57.53,0.6465,3.51,0.9508,0.6393
Classification (Gini),S (sqrt(n)),37.05,58.36,0.711,4.706,0.9098,0.6967
Classification (Gini),S_all (0.1n),32.52,42.44,0.4023,3.149,0.9754,0.6475
Classification (Gini),S_all (n/e),12.74,15.27,0.03343,1.072,0.9918,0.3279
Classification (Gini),S_all (ln(n)),29.35,35.39,0.3054,2.435,0.9918,0.6148
Classification (Gini),S_all (sqrt(n)),33.69,34.52,0.447,2.955,0.9508,0.6393
Classification (Gini),"S_par (sqrt(n), q=0.75)",19.74,42.77,0.2502,2.824,0.9426,0.4262
Classification (Entropy),best,0,0,0,0,1,0
Classification (Entropy),block-rank,45.08,70.23,2.364,14.25,0.6311,0.7623
Classification (Entropy),S^2 (0.1n),28.67,34.21,0.5127,2.878,0.9754,0.6393
Classification (Entropy),S^2 (n/e),4.95,-1.927,0.0688,1.214,1,0.008197
Classification (Entropy),S^2 (ln(n)),25.18,25.53,0.4987,2.117,0.9836,0.582
Classification (Entropy),S^2 (sqrt(n)),28.53,20.75,0.5486,2.912,0.9426,0.5738
Classification (Entropy),ERT (mtry=1),54.73,95.82,4.43,21.95,0.5164,0.8115
Classification (Entropy),ERT (mtry=p/3),49.27,88.55,1.802,7.676,0.7787,0.7869
Classification (Entropy),ERT (mtry=2p/3),43.91,83.77,1.076,3.939,0.9508,0.7377
Classification (Entropy),ERT (mtry=p),38.61,83.46,0.4856,2.303,0.9754,0.6311
Classification (Entropy),prophet-1sample,17.23,42,0.09273,1.627,0.9836,0.4426
Classification (Entropy),S (0.1n),35.93,58.8,0.9371,3.902,0.9098,0.6967
Classification (Entropy),S (n/e),12.59,41.95,0.09962,1.49,1,0.4098
Classification (Entropy),S (ln(n)),33.5,56.03,0.7306,3.197,0.9672,0.6557
Classification (Entropy),S (sqrt(n)),36.78,55.95,0.8645,4.151,0.918,0.6967
Classification (Entropy),S_all (0.1n),31.52,41.69,0.4558,2.916,0.9672,0.6885
Classification (Entropy),S_all (n/e),12.59,15.05,0.06383,0.9917,1,0.3525
Classification (Entropy),S_all (ln(n)),28.68,33.91,0.3827,2.07,0.9836,0.6639
Classification (Entropy),S_all (sqrt(n)),32.2,31.26,0.469,2.872,0.9426,0.6393
Classification (Entropy),"S_par (sqrt(n), q=0.75)",19.47,42.17,0.523,2.741,0.9426,0.4262
