task,method,centroid_time_saved_%,median_effort_saved_%,median_loss_%,p90_loss_%,P(loss≤5%),P(speedup≥20%)
Regression,best,0,0,0,0,1,0
Regression,block-rank,60.46,90.76,31.91,55.32,0.1593,0.9469
Regression,S^2 (0.1n),34.67,46.32,8.659,27.51,0.3805,0.8584
Regression,S^2 (n/e),5.459,1.883,1.752,6.717,0.8142,0.00885
Regression,S^2 (ln(n)),28.84,29.76,6.328,21.74,0.3805,0.823
Regression,S^2 (sqrt(n)),27.6,29.19,8.113,30.8,0.4159,0.6637
Regression,ERT (mtry=1),71.05,98.93,36.67,60.56,0.115,0.9646
Regression,ERT (mtry=p/3),66.59,96.7,28.37,44.54,0.1504,0.9646
Regression,ERT (mtry=2p/3),60.5,92.95,15.23,28.98,0.2212,0.9558
Regression,ERT (mtry=p),54.04,88.8,8.462,16.29,0.354,0.9027
Regression,prophet-1sample,30.13,58.38,6.432,15.47,0.4336,0.7434
Regression,S (0.1n),45.21,72.48,15.53,35.02,0.2832,0.885
Regression,S (n/e),15.67,46.85,3.881,10.55,0.5929,0.4425
Regression,S (ln(n)),40.02,63.68,11.91,29.25,0.292,0.8673
Regression,S (sqrt(n)),39.2,62.81,12.51,38.25,0.3097,0.8761
Regression,S_all (0.1n),37.53,50.93,9.382,26.85,0.3717,0.8319
Regression,S_all (n/e),16.44,17.42,1.812,6.642,0.8319,0.4248
Regression,S_all (ln(n)),33.86,37.69,6.321,21.67,0.3805,0.8584
Regression,S_all (sqrt(n)),34.52,40.29,8.482,30.21,0.4159,0.8319
