,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.7213114754098361,0.1721311475409836,0.040983606557377046,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥5%,0.6967213114754098,0.16393442622950818,0.040983606557377046,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥10%,0.6639344262295082,0.13114754098360656,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥15%,0.6475409836065574,0.13114754098360656,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥20%,0.6311475409836066,0.13114754098360656,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥25%,0.6229508196721312,0.12295081967213115,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.6147540983606558,0.11475409836065574,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.6147540983606558,0.11475409836065574,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.6065573770491803,0.10655737704918032,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.5901639344262295,0.10655737704918032,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.5737704918032787,0.09836065573770492,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
