,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.5423728813559322,0.3898305084745763,0.2711864406779661,0.19491525423728814,0.16101694915254236,0.0847457627118644,0.059322033898305086,0.05084745762711865,0.0423728813559322,0.03389830508474576,0.00847457627118644
speedup≥5%,0.4745762711864407,0.3389830508474576,0.23728813559322035,0.1694915254237288,0.13559322033898305,0.0847457627118644,0.059322033898305086,0.05084745762711865,0.0423728813559322,0.03389830508474576,0.00847457627118644
speedup≥10%,0.3898305084745763,0.2796610169491525,0.19491525423728814,0.13559322033898305,0.1016949152542373,0.06779661016949153,0.05084745762711865,0.05084745762711865,0.0423728813559322,0.03389830508474576,0.00847457627118644
speedup≥15%,0.2796610169491525,0.2033898305084746,0.13559322033898305,0.1016949152542373,0.07627118644067797,0.05084745762711865,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.025423728813559324,0.00847457627118644
speedup≥20%,0.22033898305084745,0.16101694915254236,0.11016949152542373,0.07627118644067797,0.06779661016949153,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.00847457627118644
speedup≥25%,0.19491525423728814,0.13559322033898305,0.09322033898305085,0.06779661016949153,0.059322033898305086,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644
speedup≥30%,0.16101694915254236,0.11016949152542373,0.06779661016949153,0.05084745762711865,0.05084745762711865,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644
speedup≥35%,0.15254237288135594,0.1016949152542373,0.06779661016949153,0.05084745762711865,0.05084745762711865,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644
speedup≥40%,0.1440677966101695,0.09322033898305085,0.059322033898305086,0.0423728813559322,0.0423728813559322,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644
speedup≥45%,0.11864406779661017,0.0847457627118644,0.059322033898305086,0.0423728813559322,0.0423728813559322,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644
speedup≥50%,0.1016949152542373,0.07627118644067797,0.05084745762711865,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644
