,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.7868852459016393,0.27049180327868855,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥5%,0.7704918032786885,0.27049180327868855,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥10%,0.7540983606557377,0.27049180327868855,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥15%,0.7213114754098361,0.27049180327868855,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥20%,0.7213114754098361,0.27049180327868855,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥25%,0.7049180327868853,0.26229508196721313,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥30%,0.6639344262295082,0.2459016393442623,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥35%,0.6639344262295082,0.2459016393442623,0.13934426229508196,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥40%,0.6475409836065574,0.23770491803278687,0.13114754098360656,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥45%,0.639344262295082,0.23770491803278687,0.13114754098360656,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥50%,0.6229508196721312,0.23770491803278687,0.13114754098360656,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0
