,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.5327868852459017,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥5%,0.5081967213114754,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥10%,0.45901639344262296,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥15%,0.4262295081967213,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥20%,0.39344262295081966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥25%,0.3770491803278688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.36885245901639346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.36885245901639346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.36885245901639346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.36065573770491804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.3442622950819672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
