,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.19469026548672566,0.09734513274336283,0.061946902654867256,0.035398230088495575,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0
speedup≥5%,0.09734513274336283,0.061946902654867256,0.04424778761061947,0.02654867256637168,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0
speedup≥10%,0.04424778761061947,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥15%,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
