task,dataset,family_id,family_size,grouping_rule
regression,1027_ESL,1027_ESL,1,singleton PMLB entry
regression,1028_SWD,1028_SWD,1,singleton PMLB entry
regression,1029_LEV,1029_LEV,1,singleton PMLB entry
regression,1030_ERA,1030_ERA,1,singleton PMLB entry
regression,1089_USCrime,1089_USCrime,1,singleton PMLB entry
regression,1096_FacultySalaries,1096_FacultySalaries,1,singleton PMLB entry
regression,1193_BNG_lowbwt,1193_BNG_lowbwt,1,singleton PMLB entry
regression,1199_BNG_echoMonths,1199_BNG_echoMonths,1,singleton PMLB entry
regression,197_cpu_act,cpu_act_alias,2,exact duplicate PMLB aliases grouped together
regression,201_pol,201_pol,1,singleton PMLB entry
regression,210_cloud,210_cloud,1,singleton PMLB entry
regression,215_2dplanes,215_2dplanes,1,singleton PMLB entry
regression,218_house_8L,218_house_8L,1,singleton PMLB entry
regression,225_puma8NH,225_puma8NH,1,singleton PMLB entry
regression,227_cpu_small,cpu_small_alias,2,exact duplicate PMLB aliases grouped together
regression,228_elusage,228_elusage,1,singleton PMLB entry
regression,229_pwLinear,229_pwLinear,1,singleton PMLB entry
regression,230_machine_cpu,230_machine_cpu,1,singleton PMLB entry
regression,294_satellite_image,294_satellite_image,1,singleton PMLB entry
regression,344_mv,344_mv,1,singleton PMLB entry
regression,4544_GeographicalOriginalofMusic,4544_GeographicalOriginalofMusic,1,singleton PMLB entry
regression,485_analcatdata_vehicle,485_analcatdata_vehicle,1,singleton PMLB entry
regression,503_wind,503_wind,1,singleton PMLB entry
regression,505_tecator,505_tecator,1,singleton PMLB entry
regression,519_vinnie,519_vinnie,1,singleton PMLB entry
regression,522_pm10,522_pm10,1,singleton PMLB entry
regression,523_analcatdata_neavote,523_analcatdata_neavote,1,singleton PMLB entry
regression,527_analcatdata_election2000,527_analcatdata_election2000,1,singleton PMLB entry
regression,529_pollen,529_pollen,1,singleton PMLB entry
regression,537_houses,537_houses,1,singleton PMLB entry
regression,542_pollution,542_pollution,1,singleton PMLB entry
regression,547_no2,547_no2,1,singleton PMLB entry
regression,556_analcatdata_apnea2,556_analcatdata_apnea2,1,singleton PMLB entry
regression,557_analcatdata_apnea1,557_analcatdata_apnea1,1,singleton PMLB entry
regression,560_bodyfat,560_bodyfat,1,singleton PMLB entry
regression,561_cpu,561_cpu,1,singleton PMLB entry
regression,562_cpu_small,cpu_small_alias,2,exact duplicate PMLB aliases grouped together
regression,564_fried,564_fried,1,singleton PMLB entry
regression,573_cpu_act,cpu_act_alias,2,exact duplicate PMLB aliases grouped together
regression,574_house_16H,574_house_16H,1,singleton PMLB entry
regression,579_fri_c0_250_5,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,581_fri_c3_500_25,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,582_fri_c1_500_25,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,583_fri_c1_1000_50,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,584_fri_c4_500_25,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,586_fri_c3_1000_25,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,588_fri_c4_1000_100,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,589_fri_c2_1000_25,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,590_fri_c0_1000_50,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,591_fri_c1_100_10,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,592_fri_c4_1000_25,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,593_fri_c1_1000_10,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,594_fri_c2_100_5,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,595_fri_c0_1000_10,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,596_fri_c2_250_5,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,597_fri_c2_500_5,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,598_fri_c0_1000_25,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,599_fri_c2_1000_5,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,601_fri_c1_250_5,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,602_fri_c3_250_10,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,603_fri_c0_250_50,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,604_fri_c4_500_10,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,605_fri_c2_250_25,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,606_fri_c2_1000_10,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,607_fri_c4_1000_50,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,608_fri_c3_1000_10,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,609_fri_c0_1000_5,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,611_fri_c3_100_5,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,612_fri_c1_1000_5,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,613_fri_c3_250_5,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,615_fri_c4_250_10,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,616_fri_c4_500_50,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,617_fri_c3_500_5,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,618_fri_c3_1000_50,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,620_fri_c1_1000_25,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,621_fri_c0_100_10,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,622_fri_c2_1000_50,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,623_fri_c4_1000_10,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,624_fri_c0_100_5,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,626_fri_c2_500_50,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,627_fri_c2_500_10,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,628_fri_c3_1000_5,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,631_fri_c1_500_5,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,633_fri_c0_500_25,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,634_fri_c2_100_10,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,635_fri_c0_250_10,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,637_fri_c1_500_50,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,641_fri_c1_500_10,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,643_fri_c2_500_25,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,644_fri_c4_250_25,friedman_generator_c4,9,related Friedman synthetic entries grouped by generator c0-c4
regression,645_fri_c3_500_50,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,646_fri_c3_500_10,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,647_fri_c1_250_10,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,648_fri_c1_250_50,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,649_fri_c0_500_5,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,650_fri_c0_500_50,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,651_fri_c0_100_25,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,653_fri_c0_250_25,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,654_fri_c0_500_10,friedman_generator_c0,15,related Friedman synthetic entries grouped by generator c0-c4
regression,656_fri_c1_100_5,friedman_generator_c1,13,related Friedman synthetic entries grouped by generator c0-c4
regression,657_fri_c2_250_10,friedman_generator_c2,13,related Friedman synthetic entries grouped by generator c0-c4
regression,658_fri_c3_250_25,friedman_generator_c3,12,related Friedman synthetic entries grouped by generator c0-c4
regression,659_sleuth_ex1714,659_sleuth_ex1714,1,singleton PMLB entry
regression,663_rabe_266,663_rabe_266,1,singleton PMLB entry
regression,665_sleuth_case2002,665_sleuth_case2002,1,singleton PMLB entry
regression,666_rmftsa_ladata,666_rmftsa_ladata,1,singleton PMLB entry
regression,678_visualizing_environmental,678_visualizing_environmental,1,singleton PMLB entry
regression,690_visualizing_galaxy,690_visualizing_galaxy,1,singleton PMLB entry
regression,695_chatfield_4,695_chatfield_4,1,singleton PMLB entry
regression,706_sleuth_case1202,706_sleuth_case1202,1,singleton PMLB entry
regression,712_chscase_geyser1,712_chscase_geyser1,1,singleton PMLB entry
regression,banana,banana,1,singleton PMLB entry
regression,titanic,titanic,1,singleton PMLB entry
classification_gini,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1,singleton PMLB entry
classification_gini,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1,singleton PMLB entry
classification_gini,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1,singleton PMLB entry
classification_gini,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1,singleton PMLB entry
classification_gini,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1,singleton PMLB entry
classification_gini,Hill_Valley_with_noise,Hill_Valley_with_noise,1,singleton PMLB entry
classification_gini,Hill_Valley_without_noise,Hill_Valley_without_noise,1,singleton PMLB entry
classification_gini,adult,adult,1,singleton PMLB entry
classification_gini,agaricus_lepiota,agaricus_lepiota,1,singleton PMLB entry
classification_gini,allbp,allbp,1,singleton PMLB entry
classification_gini,allhyper,allhyper,1,singleton PMLB entry
classification_gini,allhypo,allhypo,1,singleton PMLB entry
classification_gini,allrep,allrep,1,singleton PMLB entry
classification_gini,analcatdata_aids,analcatdata_aids,1,singleton PMLB entry
classification_gini,analcatdata_asbestos,analcatdata_asbestos,1,singleton PMLB entry
classification_gini,analcatdata_authorship,analcatdata_authorship,1,singleton PMLB entry
classification_gini,analcatdata_bankruptcy,analcatdata_bankruptcy,1,singleton PMLB entry
classification_gini,analcatdata_boxing1,analcatdata_boxing1,1,singleton PMLB entry
classification_gini,analcatdata_boxing2,analcatdata_boxing2,1,singleton PMLB entry
classification_gini,analcatdata_creditscore,analcatdata_creditscore,1,singleton PMLB entry
classification_gini,analcatdata_cyyoung8092,analcatdata_cyyoung8092,1,singleton PMLB entry
classification_gini,analcatdata_cyyoung9302,analcatdata_cyyoung9302,1,singleton PMLB entry
classification_gini,analcatdata_dmft,analcatdata_dmft,1,singleton PMLB entry
classification_gini,analcatdata_fraud,analcatdata_fraud,1,singleton PMLB entry
classification_gini,analcatdata_germangss,analcatdata_germangss,1,singleton PMLB entry
classification_gini,analcatdata_happiness,analcatdata_happiness,1,singleton PMLB entry
classification_gini,analcatdata_japansolvent,analcatdata_japansolvent,1,singleton PMLB entry
classification_gini,analcatdata_lawsuit,analcatdata_lawsuit,1,singleton PMLB entry
classification_gini,ann_thyroid,ann_thyroid,1,singleton PMLB entry
classification_gini,appendicitis,appendicitis,1,singleton PMLB entry
classification_gini,backache,backache,1,singleton PMLB entry
classification_gini,balance_scale,balance_scale,1,singleton PMLB entry
classification_gini,biomed,biomed,1,singleton PMLB entry
classification_gini,breast_cancer,breast_cancer,1,singleton PMLB entry
classification_gini,bupa,bupa,1,singleton PMLB entry
classification_gini,calendarDOW,calendarDOW,1,singleton PMLB entry
classification_gini,car_evaluation,car_evaluation,1,singleton PMLB entry
classification_gini,cars,cars,1,singleton PMLB entry
