task,method_key,splitter,variant,analysis_tier,metric,unit,estimand,estimate,confidence,n_families,n_bootstrap,interval_method,within_ci_low,within_ci_high,within_se,between_ci_low,between_ci_high,between_se,hierarchical_ci_low,hierarchical_ci_high,hierarchical_se,experimental_unit,n_source_datasets,sensitivity_estimand
regression,best|,best,,confirmatory,time_saved_pct,percent_training_time,family_centroid_mean,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,best|,best,,confirmatory,time_saved_pct,percent_training_time,cross_family_median,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,best|,best,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,family_centroid_mean,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,best|,best,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,cross_family_median,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,best|,best,,confirmatory,effort_saved_pct,percent_gain_evaluations,family_centroid_mean,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,best|,best,,confirmatory,effort_saved_pct,percent_gain_evaluations,cross_family_median,0,0.94999999999999996,54,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,time_saved_pct,percent_training_time,family_centroid_mean,50.55902733722769,0.94999999999999996,54,10000,percentile_bootstrap,50.190465197628491,50.75059727019233,0.1432505987654964,43.265781894651219,57.684909912663819,3.6639992056099024,43.14094492092147,57.637748445989388,3.6796044236979673,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,time_saved_pct,percent_training_time,cross_family_median,48.491977167998058,0.94999999999999996,54,10000,percentile_bootstrap,47.50829420375878,49.681735267469534,0.53730595981494611,32.481935581066338,66.937042713641063,10.440161856164984,32.049489090822505,66.760875972372432,10.436466552715242,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,family_centroid_mean,18.948971169567827,0.94999999999999996,54,10000,percentile_bootstrap,18.588975573685321,19.491292239246185,0.23223004505969685,12.914256549284266,25.42497000111743,3.2041087581665035,12.954711100399953,25.544594367729466,3.2051969289436921,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,cross_family_median,10.519314590214464,0.94999999999999996,54,10000,percentile_bootstrap,10.148870789521423,13.958577486062875,1.0104231630156777,7.4263088751810731,19.022049909611454,3.2556594571520971,7.1795721468662217,18.873051131084733,3.2273822402392947,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,effort_saved_pct,percent_gain_evaluations,family_centroid_mean,75.417957400914716,0.94999999999999996,54,10000,percentile_bootstrap,75.282517617360526,75.4860334048482,0.051151549680014174,69.132047583869891,81.152027238824076,3.0281618697749892,69.110833114883022,81.132546022916614,3.0331241367451094,dataset_family,113,equal family weight after within-family median aggregation
regression,block_rank|,block_rank,,confirmatory,effort_saved_pct,percent_gain_evaluations,cross_family_median,84.153000445938972,0.94999999999999996,54,10000,percentile_bootstrap,83.671353396789115,84.51555299435978,0.2244947661584808,78.502966709121523,89.740945818045631,2.8286396687416566,78.308933230137868,89.772882131555576,2.8277414208418898,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,time_saved_pct,percent_training_time,family_centroid_mean,30.423558881229333,0.94999999999999996,54,10000,percentile_bootstrap,29.97155753858247,30.728550907822093,0.19364773223190296,25.815427159312627,34.828024782026816,2.3019911059598019,25.764917154818718,34.822260374867845,2.3206243497824151,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,time_saved_pct,percent_training_time,cross_family_median,28.293994025199552,0.94999999999999996,54,10000,percentile_bootstrap,27.549207487676508,30.320631120539488,0.69251891249805486,20.98313182271534,40.808452818474564,5.2959343946654824,20.465322243758603,40.700018717068225,5.2217547527219752,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,family_centroid_mean,7.9584786869933586,0.94999999999999996,54,10000,percentile_bootstrap,7.696105268669875,8.2107088656558656,0.13164026155048639,4.4486950707510013,12.234982823282136,2.0116524364919193,4.3931847328225064,12.249383542381292,2.0187423104350022,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,cross_family_median,2.4697497973003526,0.94999999999999996,54,10000,percentile_bootstrap,2.1288867050354323,2.9259298938856149,0.20458248472614654,1.2421207148767128,3.5054924678244364,0.59988136194876684,1.3405526737104474,3.6912522771343315,0.62988082428316372,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,effort_saved_pct,percent_gain_evaluations,family_centroid_mean,24.910337936222803,0.94999999999999996,54,10000,percentile_bootstrap,24.815836866972109,25.027687647172755,0.053915135801547255,16.15479623444703,32.649175090100393,4.235206035298507,16.143889160841873,32.684623394029963,4.235187422836983,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,effort_saved_pct,percent_gain_evaluations,cross_family_median,36.690327359129938,0.94999999999999996,54,10000,percentile_bootstrap,36.18341102505785,37.300731423531481,0.29298329351973135,29.003388954431848,46.218093865433261,5.5103365094989956,28.780741019937359,46.097014370459483,5.4567096486624891,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,time_saved_pct,percent_training_time,family_centroid_mean,7.3533384502618633,0.94999999999999996,54,10000,percentile_bootstrap,6.7930480719859592,7.5771929315389688,0.19882914222964285,5.9188630769845929,8.7046153194041995,0.71912106719621016,5.7322193523993947,8.609597301795743,0.74046191911865711,dataset_family,113,equal family weight after within-family median aggregation
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,time_saved_pct,percent_training_time,cross_family_median,7.7277821649687546,0.94999999999999996,54,10000,percentile_bootstrap,6.6432701774306508,8.2858089487107431,0.4200491533106599,6.444193959068917,8.8303314072409602,0.6307225751010529,5.9088756843225161,8.8039312280473094,0.75014972460467633,dataset_family,113,equal family weight after within-family median aggregation
