task,method_key,splitter,variant,analysis_tier,time_saved_threshold_pct,loss_tolerance_pct,loss_unit,estimate,confidence,n_datasets,n_bootstrap,experimental_unit,estimand,within_ci_low,within_ci_high,within_se,between_ci_low,between_ci_high,between_se,hierarchical_ci_low,hierarchical_ci_high,hierarchical_se
regression,best|,best,,confirmatory,0,0.5,percent_bounded_relative_RMSE_loss,1,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),1,1,0,1,1,0,1,1,0
regression,best|,best,,confirmatory,0,1,percent_bounded_relative_RMSE_loss,1,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),1,1,0,1,1,0,1,1,0
regression,best|,best,,confirmatory,0,2.5,percent_bounded_relative_RMSE_loss,1,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),1,1,0,1,1,0,1,1,0
regression,best|,best,,confirmatory,10,0.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,10,1,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,10,2.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,25,0.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,25,1,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,25,2.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,50,0.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,50,1,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,50,2.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0,0,0,0,0,0,0
regression,block_rank|,block_rank,,confirmatory,0,0.5,percent_bounded_relative_RMSE_loss,0.097345132743362831,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.079646017699115043,0.097345132743362831,0.0063875201864094571,0.044247787610619468,0.15044247787610621,0.02788367159406761,0.044247787610619468,0.15044247787610621,0.027190522667740205
regression,block_rank|,block_rank,,confirmatory,0,1,percent_bounded_relative_RMSE_loss,0.097345132743362831,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.079646017699115043,0.10619469026548672,0.0069271034676477673,0.044247787610619468,0.15044247787610621,0.02788367159406761,0.044247787610619468,0.15044247787610621,0.027812405417073201
regression,block_rank|,block_rank,,confirmatory,0,2.5,percent_bounded_relative_RMSE_loss,0.11504424778761062,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.10619469026548672,0.15044247787610621,0.0096272104432655933,0.061946902654867256,0.17699115044247787,0.029749252654169847,0.070796460176991149,0.19469026548672566,0.031345577119384953
regression,block_rank|,block_rank,,confirmatory,10,0.5,percent_bounded_relative_RMSE_loss,0.097345132743362831,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.079646017699115043,0.097345132743362831,0.0066550257883013749,0.044247787610619468,0.15044247787610621,0.02788367159406761,0.044247787610619468,0.15044247787610621,0.027128615433919537
regression,block_rank|,block_rank,,confirmatory,10,1,percent_bounded_relative_RMSE_loss,0.097345132743362831,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.079646017699115043,0.10619469026548672,0.0071569045783266118,0.044247787610619468,0.15044247787610621,0.02788367159406761,0.044247787610619468,0.15044247787610621,0.02775119808303346
regression,block_rank|,block_rank,,confirmatory,10,2.5,percent_bounded_relative_RMSE_loss,0.11504424778761062,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.10619469026548672,0.14181415929203217,0.0098101760962072335,0.061946902654867256,0.17699115044247787,0.029749252654169847,0.070796460176991149,0.19469026548672566,0.03129308391732346
regression,block_rank|,block_rank,,confirmatory,25,0.5,percent_bounded_relative_RMSE_loss,0.035398230088495575,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.026548672566371681,0.044247787610619468,0.002784375978158761,0.0088495575221238937,0.070796460176991149,0.017205667220404775,0.0088495575221238937,0.070796460176991149,0.017282594013081777
regression,block_rank|,block_rank,,confirmatory,25,1,percent_bounded_relative_RMSE_loss,0.035398230088495575,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.035398230088495575,0.044247787610619468,0.0026370024192736538,0.0088495575221238937,0.070796460176991149,0.017205667220404775,0.0088495575221238937,0.070796460176991149,0.017313671389473522
regression,block_rank|,block_rank,,confirmatory,25,2.5,percent_bounded_relative_RMSE_loss,0.044247787610619468,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.035398230088495575,0.053097345132743362,0.0039001322588454023,0.0088495575221238937,0.088495575221238937,0.019172457629653673,0.0088495575221238937,0.088495575221238937,0.019034275063241644
regression,block_rank|,block_rank,,confirmatory,50,0.5,percent_bounded_relative_RMSE_loss,0.017699115044247787,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.017699115044247787,0.017699115044247787,0,0,0.044247787610619468,0.012198399207106818,0,0.044247787610619468,0.012198399207106818
regression,block_rank|,block_rank,,confirmatory,50,1,percent_bounded_relative_RMSE_loss,0.017699115044247787,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.017699115044247787,0.017699115044247787,0,0,0.044247787610619468,0.012198399207106818,0,0.044247787610619468,0.012198399207106818
regression,block_rank|,block_rank,,confirmatory,50,2.5,percent_bounded_relative_RMSE_loss,0.017699115044247787,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.017699115044247787,0.017699115044247787,0.00023406702541348912,0,0.044247787610619468,0.012198399207106818,0,0.044247787610619468,0.012199585537879407
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,0,0.5,percent_bounded_relative_RMSE_loss,0.15044247787610621,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.12389380530973451,0.16814159292035399,0.011314948418796149,0.088495575221238937,0.22123893805309736,0.03324016467871159,0.088495575221238937,0.21238938053097345,0.033212110519554583
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,0,1,percent_bounded_relative_RMSE_loss,0.15929203539823009,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.1415929203539823,0.18584070796460178,0.011869169749658742,0.097345132743362831,0.23008849557522124,0.034046360291765769,0.097345132743362831,0.23008849557522124,0.034316694203249468
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,0,2.5,percent_bounded_relative_RMSE_loss,0.25663716814159293,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.21238938053097345,0.27433628318584069,0.015392131510818023,0.17699115044247787,0.33628318584070799,0.041115000854307693,0.16814159292035399,0.32743362831858408,0.040368971380762057
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,10,0.5,percent_bounded_relative_RMSE_loss,0.12389380530973451,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.097345132743362831,0.15044247787610621,0.013945890145455312,0.070796460176991149,0.18584070796460178,0.030744446339278399,0.070796460176991149,0.19469026548672566,0.031039180781321722
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,10,1,percent_bounded_relative_RMSE_loss,0.13274336283185842,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.10619469026548672,0.16814159292035399,0.014882648018792036,0.070796460176991149,0.19469026548672566,0.031653256770261262,0.079646017699115043,0.20353982300884957,0.032193175843728716
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,10,2.5,percent_bounded_relative_RMSE_loss,0.23008849557522124,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.18584070796460178,0.25663716814159293,0.017904783928113031,0.15929203539823009,0.30973451327433627,0.039505552400647813,0.15044247787610621,0.30088495575221241,0.038757896673088245
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,25,0.5,percent_bounded_relative_RMSE_loss,0.053097345132743362,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.044247787610619468,0.061946902654867256,0.0062699983669819584,0.017699115044247787,0.097345132743362831,0.021040726759455151,0.017699115044247787,0.097345132743362831,0.020814392650406601
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,25,1,percent_bounded_relative_RMSE_loss,0.061946902654867256,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.044247787610619468,0.061946902654867256,0.0066179823899182927,0.017699115044247787,0.10619469026548672,0.022564482136942478,0.017699115044247787,0.097345132743362831,0.020976926481356743
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,25,2.5,percent_bounded_relative_RMSE_loss,0.097345132743362831,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.070796460176991149,0.10619469026548672,0.010221313275753289,0.044247787610619468,0.15929203539823009,0.027813554995527762,0.044247787610619468,0.15044247787610621,0.026966911472242963
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,50,0.5,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0.00064858123550950596,0,0,0,0,0,0.00062422306944112996
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,50,1,percent_bounded_relative_RMSE_loss,0,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0,0,0.00068345840656435116,0,0,0,0,0,0.00066041639112853075
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,50,2.5,percent_bounded_relative_RMSE_loss,0.0088495575221238937,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.0088495575221238937,0.017699115044247787,0.0047108588416362018,0,0.026548672566371681,0.0088847353329085527,0,0.035398230088495575,0.010567916777148389
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,0,0.5,percent_bounded_relative_RMSE_loss,0.24778761061946902,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.21238938053097345,0.29203539823008851,0.020516702016457059,0.17699115044247787,0.32743362831858408,0.039776830951659133,0.16814159292035399,0.32743362831858408,0.039860021900571724
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,0,1,percent_bounded_relative_RMSE_loss,0.34513274336283184,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.2831858407079646,0.36283185840707965,0.020142976294235233,0.26548672566371684,0.4336283185840708,0.044258385489869885,0.23893805309734514,0.40707964601769914,0.043374927055791435
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,0,2.5,percent_bounded_relative_RMSE_loss,0.48672566371681414,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.45132743362831856,0.53982300884955747,0.022603509233076899,0.39823008849557523,0.5752212389380531,0.046542439039730252,0.40707964601769914,0.59292035398230092,0.046524946256668809
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,10,0.5,percent_bounded_relative_RMSE_loss,0.061946902654867256,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.044247787610619468,0.088495575221238937,0.011780381246786542,0.026548672566371681,0.10619469026548672,0.022250446421113478,0.026548672566371681,0.11504424778761062,0.023336395312825012
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,10,1,percent_bounded_relative_RMSE_loss,0.061946902654867256,0.94999999999999996,113,10000,dataset,P_dataset(median time saved >= s and median loss <= epsilon),0.061946902654867256,0.10619469026548672,0.01208110619573638,0.026548672566371681,0.10619469026548672,0.022250446421113478,0.035398230088495575,0.13274336283185842,0.02516847898048372
