task,metric,unit,method_key,splitter,variant,analysis_tier,reference_method,method_selection_tier,n_paired_datasets,n_nonzero_differences,mean_paired_effect,median_paired_effect,fraction_favorable_or_tied,wilcoxon_pvalue_raw,signed_rank_biserial,centroid_hierarchical_ci_low,centroid_hierarchical_ci_high,median_hierarchical_ci_low,median_hierarchical_ci_high,wilcoxon_pvalue_holm,reject_holm_0.05
regression,time_saved_pct,percent_training_time,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,113,113,15.672231163751228,15.410967452849455,0.99115044247787609,3.759786750444779e-20,0.99658438130725047,14.104605933525523,16.962862720881514,13.003901170354625,17.608771245387874,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,113,113,5.4588532841984403,5.5142159971359632,0.84955752212389379,1.194084896511895e-16,0.89784195000776279,4.45107168422419,6.2699391230632324,4.3435809878047387,6.6521329878338671,1.194084896511895e-16,True
regression,time_saved_pct,percent_training_time,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,113,113,16.437828923734251,15.510074515256999,1,2.803208638992356e-20,1,15.453494344577207,17.201333898545737,14.633383761769583,17.007115323447429,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,113,113,60.460765219473004,63.064453901170324,1,2.803208638992356e-20,1,55.739819832239107,65.02919497162884,59.078031583349549,74.824699092212313,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,113,113,30.127447608756331,32.591021783376263,0.96460176991150437,5.8995715134406855e-19,0.96398074833100456,26.744811936625265,33.27290429043741,28.068589822954227,36.213703515028762,1.1799143026881371e-18,True
regression,time_saved_pct,percent_training_time,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,113,113,71.047654256661033,81.510653953313422,1,2.803208638992356e-20,1,66.016714429841315,75.708041741637714,72.305927125107615,86.289087201377953,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,113,113,66.591070889566041,77.350139484851283,1,2.803208638992356e-20,1,61.86206588728664,71.003435075786172,69.736092832348504,81.810566672733231,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,113,113,60.50315030317195,70.316889681981422,1,2.803208638992356e-20,1,55.994757672837515,64.778424341701935,61.441649543921109,73.74871872551671,2.5228877750931204e-19,True
regression,time_saved_pct,percent_training_time,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,113,113,54.043074671597438,61.895879923296462,1,2.803208638992356e-20,1,49.61665559703254,58.158234947125507,53.892985662917013,66.000041072040318,2.5228877750931204e-19,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,113,109,4.662314649756417,3.8809116397315266,0.20353982300884957,3.2021120654135598e-14,0.83753127606338618,3.5579887472446723,5.8447969915715454,2.8848238968639111,4.9017542936348431,8.2613851920895794e-14,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,113,109,2.6666780571525286,1.7515423007052222,0.20353982300884957,4.3172060321770824e-13,0.79949958298582147,1.9206176677579263,3.490936810400969,1.3256741566183505,2.5622306303752294,4.3172060321770824e-13,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,113,102,2.6747196128035782,1.8119816778365327,0.21238938053097345,2.7537950640298598e-14,0.86788501808490381,1.9709129345236138,3.4599790309950857,1.3939436615401652,2.377065400514379,8.2613851920895794e-14,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,113,108,31.334101261493462,31.90733657964558,0.088495575221238937,1.6555508857943431e-18,0.97315664288141357,27.287277136025555,35.350728491144821,24.86876253730096,39.282829298858971,1.1588856200560402e-17,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,113,109,7.1201686283961028,6.4317575141623724,0.11504424778761062,5.2403072803763345e-18,0.95429524603836535,5.8274302060593923,8.1709752023765905,4.2820505096110741,8.1725097710391665,3.1441843682258006e-17,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,113,109,36.021605147457223,36.674626652088087,0.061946902654867256,2.6205913931127116e-19,0.99132610508757302,31.877921007232697,40.018514584939929,30.651245598600994,44.013455921754314,2.3585322538014404e-18,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,113,109,26.151782050676029,28.365726536235247,0.070796460176991149,4.787256120066938e-19,0.98398665554628861,22.852298626793335,29.335626631182574,23.89221785465358,33.246622102553417,3.8298048960535504e-18,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,113,109,15.078447850481968,15.231748553074704,0.088495575221238937,1.0401644476292395e-17,0.94562135112593826,12.850810574909435,17.35676069648682,12.049153804923185,17.85131076448376,5.2008222381461976e-17,True
regression,predictive_loss_pct,percent_bounded_relative_RMSE_loss,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,113,109,7.8595447728044459,8.4615436365597319,0.16814159292035399,3.3510629076652833e-15,0.86922435362802331,6.1989321998605984,9.2548410473301441,6.5881963609696568,10.225382544741723,1.3404251630661133e-14,True
regression,effort_saved_pct,percent_gain_evaluations,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,113,113,44.966772622045738,46.849323062558355,1,2.8029610347650532e-20,1,43.762610274882945,46.053693834095917,45.86632534090333,47.465408812848082,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,113,113,-0.51268247555004587,1.8829788196044972,0.62831858407079644,0.0081525319805580455,0.28675671479583914,-2.6356168192943299,1.4399790133968879,0.35003548993834005,3.5589051963506591,0.0081525319805580455,True
regression,effort_saved_pct,percent_gain_evaluations,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,113,108,16.549083465094071,17.419278064260212,0.99115044247787609,1.9215148372841358e-19,0.99966021066938493,15.515232235775246,17.552328591497421,16.466534540602851,18.566700013270594,3.8430296745682716e-19,True
regression,effort_saved_pct,percent_gain_evaluations,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,113,113,83.794325306380856,90.761378938863444,1,2.8029610347650532e-20,1,80.347265321685811,86.811890662153672,88.183807439824946,92.078806426931905,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,113,111,51.518707014151289,58.380493033226152,1,5.9857294985083948e-20,1,47.864593135137049,54.863638632443497,55.992512701666818,60.486946861692282,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,113,113,95.60513765741463,98.925281473899702,1,2.8029610347650532e-20,1,93.839860050782988,97.112197167722513,98.509433962264154,99.084152091608019,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,113,113,92.885441792847232,96.701882024243687,1,2.8029610347650532e-20,1,90.78698821029451,94.640761518006485,96.472733300182341,96.96912860546459,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,113,113,88.347912267397376,92.945466600364654,1,2.8029610347650532e-20,1,85.856546893694627,90.460825856990766,92.326786359802384,93.531128404669261,2.5224421062582273e-19,True
regression,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,113,113,83.818242149084512,88.802610848525759,1,2.8027134513980303e-20,1,81.04122280733894,86.162897651080627,87.665798933928357,89.544025157232696,2.5224421062582273e-19,True
classification_gini,time_saved_pct,percent_training_time,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,10.891204911274185,9.9223876613047217,0.73770491803278693,6.3864831241139618e-11,0.68172730907636947,8.3777893803140238,13.537138546650962,6.0836960598826453,14.586547983696683,1.2772966248227924e-10,True
classification_gini,time_saved_pct,percent_training_time,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,6.1320173248617147,5.4684043024860909,0.90163934426229508,1.78632318658218e-18,0.91496734639477539,4.973778000671552,7.0801784434428328,4.72578853719852,7.0681621569472908,5.35896955974654e-18,True
classification_gini,time_saved_pct,percent_training_time,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,122,12.735024693875406,12.893805747918581,0.96721311475409832,1.5902745684340802e-21,0.99413567906170863,11.307303245131903,14.073830336152744,10.433395205607216,14.728003337597764,8.3159570544434308e-21,True
classification_gini,time_saved_pct,percent_training_time,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,122,45.890914991279395,42.381344117030025,1,9.2399522827149226e-22,1,40.305191153158241,51.199281097737867,32.353988799466784,57.556014184320276,8.3159570544434308e-21,True
classification_gini,time_saved_pct,percent_training_time,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,122,16.640562023321365,9.8532428546842077,0.65573770491803274,6.6143830957657262e-06,0.47007863521258164,10.113759345282253,22.802583092648039,4.5919858174228176,17.785420123714637,6.6143830957657262e-06,True
classification_gini,time_saved_pct,percent_training_time,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,122,54.190186265826313,55.756625596236042,0.99180327868852458,9.7087300983946145e-22,0.99946687991470073,48.07500287981626,60.211446569633871,40.702001579919816,71.701213694566931,8.3159570544434308e-21,True
classification_gini,time_saved_pct,percent_training_time,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,122,49.036692878776499,46.431201930260698,0.98360655737704916,1.0456357708732526e-21,0.998667199786752,43.168442311223558,54.746621043563472,33.327252122186053,58.162930593362283,8.3159570544434308e-21,True
classification_gini,time_saved_pct,percent_training_time,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,122,43.692607892158421,38.051401595090979,0.99180327868852458,9.9518671206785458e-22,0.99920031987205116,38.043872494623415,49.265360181157355,26.837642016306766,46.992635183499594,8.3159570544434308e-21,True
classification_gini,time_saved_pct,percent_training_time,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,122,38.14239030061713,25.322095774197717,0.97540983606557374,1.7983498028617756e-21,0.99280287884846063,32.370397901468564,43.73700102363393,20.672136689590985,39.72410235129226,8.3159570544434308e-21,True
