task,method_key,splitter,variant,analysis_tier,block_length_runs,estimand,estimate,confidence,n_datasets,n_bootstrap,interval_method,unit,within_block_ci_low,within_block_ci_high,within_block_se,between_dataset_ci_low,between_dataset_ci_high,between_dataset_se,hierarchical_block_ci_low,hierarchical_block_ci_high,hierarchical_block_se
regression,best|,best,,confirmatory,5,equal_dataset_weight_time_saved_centroid,0,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,0,0,0,0,0,0,0,0,0
regression,block_rank|,block_rank,,confirmatory,5,equal_dataset_weight_time_saved_centroid,60.460765219473004,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,60.181599400216776,60.551943229836105,0.094499301971579311,55.854248833551075,65.139687162214344,2.3671133808307849,55.723060237388744,65.070466584070715,2.3785467707651997
regression,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,equal_dataset_weight_time_saved_centroid,34.665757990267267,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,34.31275119462974,34.830909953253908,0.13351301598857732,31.909313699617133,37.415410928692388,1.4190085874413014,31.782031219395023,37.373872012840181,1.4336405959355309
regression,double_secretary|1overe,double_secretary,1overe,confirmatory,5,equal_dataset_weight_time_saved_centroid,5.4588532841984403,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,4.9906288486857413,5.601315243644116,0.15501082876045941,4.5809589071505563,6.3627423459587087,0.45314520205818393,4.3954761428609261,6.2416953358111185,0.47506224033304656
regression,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,equal_dataset_weight_time_saved_centroid,28.835029556058487,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,28.484079843612914,29.029658414298805,0.13803357873707839,26.347285001002906,31.377123869309226,1.2918310293885942,26.267432630537648,31.33713970887219,1.3039503501235588
regression,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,equal_dataset_weight_time_saved_centroid,27.595181813241496,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,27.1959525885703,27.76135156577201,0.14593840879268785,24.967733302431565,30.318569842150684,1.3684089143700924,24.825675614756232,30.259110376200137,1.38782292225866
regression,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,equal_dataset_weight_time_saved_centroid,71.047654256661033,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,70.731689228736784,71.08126498710206,0.090681013254382395,66.108152590390404,75.950374261292723,2.4958470583637018,65.923019046498979,75.848825619526792,2.5117938008669514
regression,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,equal_dataset_weight_time_saved_centroid,66.591070889566041,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,66.254182771406462,66.666386852003996,0.10471653202420364,61.919127489844719,71.233051980243644,2.3682500624622591,61.760874053312378,71.170374428017624,2.3842549298250435
regression,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,equal_dataset_weight_time_saved_centroid,60.50315030317195,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,60.202004425153426,60.598285155883872,0.10154425394236867,56.053092695025505,64.975244945774818,2.2709467844857998,55.922812846918795,64.911143233764747,2.2817678914767425
regression,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,equal_dataset_weight_time_saved_centroid,54.043074671597438,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,53.645405753525779,54.1380585690071,0.1247257735446699,49.764954328957764,58.380897361505014,2.1878806353820974,49.555539420947021,58.28014779106968,2.207276868067332
regression,prophet_1sample|,prophet_1sample,,confirmatory,5,equal_dataset_weight_time_saved_centroid,30.127447608756331,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,29.776943310849912,30.28657038865073,0.12934633625344566,26.831478302946774,33.428376671498334,1.6788931239782461,26.692673304480099,33.362929907461691,1.6939833289610089
regression,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,equal_dataset_weight_time_saved_centroid,37.530336536538307,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,37.083978115738311,37.635086229114421,0.14034662508218718,34.521163413559556,40.530481005851961,1.5396688176947464,34.313742112190369,40.41754170534638,1.5601501633190757
regression,secretary_all|1overe,secretary_all,1overe,confirmatory,5,equal_dataset_weight_time_saved_centroid,16.437828923734251,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,15.996098251947624,16.573876582234487,0.14842134869684567,15.618562957059472,17.259201371539334,0.42001630514487082,15.395049525684225,17.194466176469852,0.45476020699811637
regression,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,equal_dataset_weight_time_saved_centroid,33.861462521203137,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,33.469488549084005,34.017581071648813,0.14082058288921531,31.258154133671898,36.503667031843378,1.3428807622892045,31.118848927273813,36.432394154904408,1.3593612971426778
regression,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,equal_dataset_weight_time_saved_centroid,34.517436776365429,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,34.083926626100123,34.626722119725805,0.13810146167741599,31.734076779410849,37.390773208304857,1.4410925264805092,31.544947948462831,37.278417192961697,1.4570139007149141
regression,"secretary_par|samples=0.1n,q=0.5",secretary_par,"samples=0.1n,q=0.5",exploratory,5,equal_dataset_weight_time_saved_centroid,26.776714572537546,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,26.341746392552384,26.883399527669152,0.13801769226791585,24.537800676553225,29.086436162767175,1.1661441307862552,24.34286849896262,28.965155919635595,1.1912191647116732
regression,"secretary_par|samples=0.1n,q=0.75",secretary_par,"samples=0.1n,q=0.75",exploratory,5,equal_dataset_weight_time_saved_centroid,26.97401274653787,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,26.61356701656937,27.129293213085866,0.13125058486246369,24.80081360240376,29.201346866305173,1.1277891030690965,24.683231123647705,29.152994726708588,1.1440430149902117
regression,"secretary_par|samples=0.1n,q=0.9",secretary_par,"samples=0.1n,q=0.9",exploratory,5,equal_dataset_weight_time_saved_centroid,26.839513863303445,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,26.402393608776773,26.974488539626332,0.14788481590459671,24.716005141171909,29.022824956313368,1.1047414448911115,24.517682928440969,28.946694310105542,1.1283544660187765
regression,"secretary_par|samples=0.1n,q=0.95",secretary_par,"samples=0.1n,q=0.95",exploratory,5,equal_dataset_weight_time_saved_centroid,26.930354240681638,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,26.508914157800959,27.055157379621583,0.13791611812509763,24.822212161111256,29.093839089307505,1.0920165253236995,24.623271979780469,29.00053667926068,1.1151501304013787
regression,"secretary_par|samples=10,q=0.5",secretary_par,"samples=10,q=0.5",exploratory,5,equal_dataset_weight_time_saved_centroid,17.443266720349943,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,17.031181175842768,17.615059315746926,0.14966184865091192,14.881010741347108,20.105552864366523,1.3363527216998652,14.746833605333194,20.057755445870971,1.3558547264156098
regression,"secretary_par|samples=10,q=0.75",secretary_par,"samples=10,q=0.75",exploratory,5,equal_dataset_weight_time_saved_centroid,19.01856447031582,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,18.597197505507982,19.176591659976179,0.14680003804580016,16.605509270576299,21.502077373329989,1.2518262831065488,16.48866591531953,21.423639717471705,1.2669438028194502
regression,"secretary_par|samples=10,q=0.9",secretary_par,"samples=10,q=0.9",exploratory,5,equal_dataset_weight_time_saved_centroid,19.000409733676438,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,18.565973819192958,19.145781636835572,0.14670758287422897,16.623819260506654,21.457008858784853,1.234139624979864,16.451315254713496,21.371800837256981,1.2560116675943456
regression,"secretary_par|samples=10,q=0.95",secretary_par,"samples=10,q=0.95",exploratory,5,equal_dataset_weight_time_saved_centroid,19.013189818381839,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,18.537045391753246,19.175369218990014,0.16177359459699517,16.65201443555322,21.482238367264237,1.2340118149823398,16.465046495576807,21.405263325590052,1.26172085520287
regression,"secretary_par|samples=2,q=0.5",secretary_par,"samples=2,q=0.5",exploratory,5,equal_dataset_weight_time_saved_centroid,24.727122901097932,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,24.401973496457213,24.92252109859858,0.13210123999724757,22.199082080780737,27.351450668881476,1.3171146835017378,22.119593114423669,27.316867795463398,1.3301726751057934
regression,"secretary_par|samples=2,q=0.75",secretary_par,"samples=2,q=0.75",exploratory,5,equal_dataset_weight_time_saved_centroid,25.286143695808711,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,24.799069423345109,25.437310593651109,0.16274998777258232,22.829119825140761,27.811743616438505,1.2740761801994971,22.62652460302353,27.715266761778182,1.2984504332068696
regression,"secretary_par|samples=2,q=0.9",secretary_par,"samples=2,q=0.9",exploratory,5,equal_dataset_weight_time_saved_centroid,25.624378092275453,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,25.157348484872561,25.755024749465605,0.15313410036543354,23.246077242500689,28.09202656616657,1.2398929470491442,23.045358225305741,27.959690857979506,1.2579341502858787
regression,"secretary_par|samples=2,q=0.95",secretary_par,"samples=2,q=0.95",exploratory,5,equal_dataset_weight_time_saved_centroid,25.815078490172908,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,25.354150130673084,25.939023418306281,0.14940666032522498,23.49065883142746,28.215606636259004,1.2078951751342875,23.279600279102105,28.086939130454326,1.2286123609429438
regression,"secretary_par|samples=ln_n,q=0.5",secretary_par,"samples=ln_n,q=0.5",exploratory,5,equal_dataset_weight_time_saved_centroid,20.783501542815824,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,20.343551956218565,20.898266620268178,0.14243236118537525,18.390716855012251,23.28131030269774,1.2512634063918893,18.166488547351523,23.132899384196591,1.2712379440122241
regression,"secretary_par|samples=ln_n,q=0.75",secretary_par,"samples=ln_n,q=0.75",exploratory,5,equal_dataset_weight_time_saved_centroid,20.717987803815888,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,20.208387093755821,20.852419547631889,0.16530999597050983,18.356327193423599,23.196385229619896,1.2358002261475369,18.12831361580896,23.033438644179565,1.2619767307724579
regression,"secretary_par|samples=ln_n,q=0.9",secretary_par,"samples=ln_n,q=0.9",exploratory,5,equal_dataset_weight_time_saved_centroid,20.978727100746788,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,20.557724260043809,21.173744801507663,0.15722470813012029,18.64028757956789,23.420763324332732,1.2222918349636189,18.519009889696218,23.342309668376004,1.237772162304249
regression,"secretary_par|samples=ln_n,q=0.95",secretary_par,"samples=ln_n,q=0.95",exploratory,5,equal_dataset_weight_time_saved_centroid,21.022245050788417,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,20.561352575049554,21.191241340301623,0.15988445007940361,18.691618515215499,23.44866728301033,1.2116635432434335,18.510069513251587,23.329245009198839,1.2321084632565507
regression,"secretary_par|samples=sqrt_n,q=0.5",secretary_par,"samples=sqrt_n,q=0.5",exploratory,5,equal_dataset_weight_time_saved_centroid,28.269443340822914,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,27.875897784642312,28.399185575775849,0.13426072415193369,26.026824980907229,30.580828527545727,1.1686471751728484,25.862692848925711,30.480673620764776,1.18497566595378
regression,"secretary_par|samples=sqrt_n,q=0.75",secretary_par,"samples=sqrt_n,q=0.75",exploratory,5,equal_dataset_weight_time_saved_centroid,27.950512616019093,0.94999999999999996,113,10000,circular_moving_block_percentile_bootstrap,percent_training_time,27.556133858739543,28.127476128342991,0.14662062137818505,25.707553557605113,30.255743642347078,1.1696581500450229,25.556854331677304,30.199036013228881,1.1899836121912222
