task,dataset,method_key,splitter,variant,analysis_tier,block_length_runs,estimate_time_saved_pct,ci_low,ci_high,confidence,n_complete_paired_runs,n_bootstrap,interval_method,unit
regression,1027_ESL,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,block_rank|,block_rank,,confirmatory,5,22.526708483812552,20.21247139036393,23.771559643548368,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,13.709812226943152,10.963011140276002,15.660626425057567,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,double_secretary|1overe,double_secretary,1overe,confirmatory,5,11.231542985786547,8.7572573956275708,13.285753690343959,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,13.56261904864925,10.51098939194538,14.622022501835552,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,11.709097985494344,8.5549547693588792,13.572542901724937,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,27.160870945515647,22.722009441523749,29.289425470297893,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,27.051861596090653,24.139118457302256,28.340957773836408,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,23.167309800802862,20.802512233907777,24.89010989010988,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,17.608476924990178,13.318779744673016,18.795678754479482,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,prophet_1sample|,prophet_1sample,,confirmatory,5,5.5875323354598887,2.5884068538083671,7.2411874091477646,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,12.271957804244105,6.8678849610583459,13.982575242862882,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary_all|1overe,secretary_all,1overe,confirmatory,5,14.184916820668136,11.202908043908122,16.118249692942911,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,14.569318449314961,8.5933809444100113,16.915137729609054,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,14.639858818876883,12.238979118329862,17.126180388145485,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary|0.1n,secretary,0.1n,exploratory,5,16.041835950152262,11.138567498610286,19.278570104428272,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary|1overe,secretary,1overe,confirmatory,5,8.5529326599883877,1.2864245658501194,9.8633207997509746,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary|ln_n,secretary,ln_n,exploratory,5,15.610920037771081,11.199070375479225,18.315760072611521,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1027_ESL,secretary|sqrt_n,secretary,sqrt_n,exploratory,5,16.741028590566586,14.213344577118537,17.901792264115102,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,block_rank|,block_rank,,confirmatory,5,39.927340361444564,34.958634043299085,43.056836467581341,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,29.833893192342455,27.986506361894271,33.072325164377901,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
