task,method,centroid_time_saved_%,median_effort_saved_%,median_loss_%,p90_loss_%,P(loss≤5%),P(speedup≥20%)
Classification (Entropy),best,0,0,0,0,1,0
Classification (Entropy),block-rank,45.08,70.23,2.364,14.25,0.6311,0.7623
Classification (Entropy),S^2 (0.1n),28.67,34.21,0.5127,2.878,0.9754,0.6393
Classification (Entropy),S^2 (n/e),4.95,-1.927,0.0688,1.214,1,0.008197
Classification (Entropy),S^2 (ln(n)),25.18,25.53,0.4987,2.117,0.9836,0.582
Classification (Entropy),S^2 (sqrt(n)),28.53,20.75,0.5486,2.912,0.9426,0.5738
Classification (Entropy),ERT (mtry=1),54.73,95.82,4.43,21.95,0.5164,0.8115
Classification (Entropy),ERT (mtry=p/3),49.27,88.55,1.802,7.676,0.7787,0.7869
Classification (Entropy),ERT (mtry=2p/3),43.91,83.77,1.076,3.939,0.9508,0.7377
Classification (Entropy),ERT (mtry=p),38.61,83.46,0.4856,2.303,0.9754,0.6311
Classification (Entropy),prophet-1sample,17.23,42,0.09273,1.627,0.9836,0.4426
Classification (Entropy),S (0.1n),35.93,58.8,0.9371,3.902,0.9098,0.6967
Classification (Entropy),S (n/e),12.59,41.95,0.09962,1.49,1,0.4098
Classification (Entropy),S (ln(n)),33.5,56.03,0.7306,3.197,0.9672,0.6557
Classification (Entropy),S (sqrt(n)),36.78,55.95,0.8645,4.151,0.918,0.6967
Classification (Entropy),S_all (0.1n),31.52,41.69,0.4558,2.916,0.9672,0.6885
Classification (Entropy),S_all (n/e),12.59,15.05,0.06383,0.9917,1,0.3525
Classification (Entropy),S_all (ln(n)),28.68,33.91,0.3827,2.07,0.9836,0.6639
Classification (Entropy),S_all (sqrt(n)),32.2,31.26,0.469,2.872,0.9426,0.6393
Classification (Entropy),"S_par (sqrt(n), q=0.75)",19.47,42.17,0.523,2.741,0.9426,0.4262
