task,method,centroid_time_saved_%,median_effort_saved_%,median_loss_%,p90_loss_%,P(loss≤5%),P(speedup≥20%)
Classification (Gini),best,0,0,0,0,1,0
Classification (Gini),block-rank,45.89,71.89,2.675,14.64,0.6393,0.7377
Classification (Gini),S^2 (0.1n),29.93,34.31,0.4543,2.968,0.9672,0.6557
Classification (Gini),S^2 (n/e),6.132,-1.1,0.04524,1.091,0.9918,0.02459
Classification (Gini),S^2 (ln(n)),26.89,26.97,0.4257,2.426,0.9836,0.582
Classification (Gini),S^2 (sqrt(n)),30.63,23.17,0.5475,2.719,0.9508,0.5902
Classification (Gini),ERT (mtry=1),54.19,96.34,4.573,21.93,0.5246,0.8033
Classification (Gini),ERT (mtry=p/3),49.04,89.25,1.736,7.923,0.7787,0.7787
Classification (Gini),ERT (mtry=2p/3),43.69,84.1,1.006,3.803,0.9344,0.7377
Classification (Gini),ERT (mtry=p),38.14,84.57,0.291,2.598,0.9672,0.623
Classification (Gini),prophet-1sample,16.64,41.5,0.02972,1.82,0.9836,0.418
Classification (Gini),S (0.1n),35.8,60.17,0.7056,4.316,0.918,0.6885
Classification (Gini),S (n/e),10.89,42.45,0.1013,1.722,0.9918,0.3607
Classification (Gini),S (ln(n)),33.13,57.53,0.6465,3.51,0.9508,0.6393
Classification (Gini),S (sqrt(n)),37.05,58.36,0.711,4.706,0.9098,0.6967
Classification (Gini),S_all (0.1n),32.52,42.44,0.4023,3.149,0.9754,0.6475
Classification (Gini),S_all (n/e),12.74,15.27,0.03343,1.072,0.9918,0.3279
Classification (Gini),S_all (ln(n)),29.35,35.39,0.3054,2.435,0.9918,0.6148
Classification (Gini),S_all (sqrt(n)),33.69,34.52,0.447,2.955,0.9508,0.6393
Classification (Gini),"S_par (sqrt(n), q=0.75)",19.74,42.77,0.2502,2.824,0.9426,0.4262
