task,method,median_speedup,median_effort_saved_%,median_loss_%,p90_loss_%,P(loss≤5%),P(speedup≥20%)
Regression,best,1,0,0,0,1,0
Regression,block_rank,3.405,,38.57,56.5,0.03846,0.9519
Regression,double_secretary (0.1n),3.6,,40.03,59.8,0.05769,0.9712
Regression,double_secretary (1overe),2.77,,42.44,59.8,0.04808,0.9135
Regression,double_secretary (ln_n),3.389,,40.27,59.8,0.05769,0.9615
Regression,double_secretary (sqrt_n),3.57,,39.89,59.82,0.05769,0.9712
Regression,extra_tree (max_features=1),6.093,98.97,41.33,61.23,0.09615,0.9615
Regression,extra_tree (max_features=1over3),4.574,96.78,29.07,44.72,0.125,0.9615
Regression,extra_tree (max_features=2over3),3.448,93.13,16.11,28.98,0.2019,0.9423
Regression,extra_tree (max_features=all),2.763,89.24,9.254,16.83,0.3077,0.8654
Regression,prophet_1sample,1.276,,23.8,51.07,0.07692,0.6346
Regression,secretary (0.1n),3.648,,40.72,59.61,0.05769,0.9519
Regression,secretary (1overe),3.431,,43.7,60.18,0.04808,0.8942
Regression,secretary (ln_n),3.647,,41.81,59.64,0.05769,0.9519
Regression,secretary (sqrt_n),3.563,,42,59.63,0.05769,0.9519
Regression,secretary_all (0.1n),3.193,,34.29,55.51,0.06731,0.9615
Regression,secretary_all (1overe),1.981,,24.23,44.93,0.1635,0.9038
Regression,secretary_all (ln_n),2.811,,31.44,55.67,0.07692,0.9423
Regression,secretary_all (sqrt_n),3.445,,38.17,58.66,0.06731,0.9423
