,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.319672131147541,0.9590163934426229,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
speedup≥5%,0.2786885245901639,0.8688524590163934,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
speedup≥10%,0.19672131147540983,0.7704918032786885,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147
speedup≥15%,0.1721311475409836,0.6721311475409836,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344
speedup≥20%,0.13114754098360656,0.6229508196721312,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082
speedup≥25%,0.10655737704918032,0.5655737704918032,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥30%,0.08196721311475409,0.5081967213114754,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508
speedup≥35%,0.08196721311475409,0.4918032786885246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥40%,0.08196721311475409,0.45081967213114754,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
speedup≥45%,0.08196721311475409,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967
speedup≥50%,0.06557377049180328,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705
