,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.29508196721311475,0.9426229508196722,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9590163934426229
speedup≥5%,0.26229508196721313,0.8770491803278688,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
speedup≥10%,0.1721311475409836,0.7459016393442623,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131
speedup≥15%,0.13114754098360656,0.6229508196721312,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082
speedup≥20%,0.09836065573770492,0.5737704918032787,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥25%,0.08196721311475409,0.5245901639344263,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017
speedup≥30%,0.07377049180327869,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥35%,0.07377049180327869,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
speedup≥40%,0.07377049180327869,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967
speedup≥45%,0.07377049180327869,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459
speedup≥50%,0.05737704918032787,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804
