,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.3360655737704918,0.9098360655737705,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.28688524590163933,0.8114754098360656,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934
speedup≥10%,0.18032786885245902,0.6721311475409836,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115
speedup≥15%,0.13934426229508196,0.5819672131147541,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066
speedup≥20%,0.09836065573770492,0.5245901639344263,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
speedup≥25%,0.09016393442622951,0.48360655737704916,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017
speedup≥30%,0.09016393442622951,0.45901639344262296,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥35%,0.08196721311475409,0.4262295081967213,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
speedup≥40%,0.08196721311475409,0.4016393442622951,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967
speedup≥45%,0.07377049180327869,0.38524590163934425,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459
speedup≥50%,0.07377049180327869,0.36885245901639346,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951
