,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.2459016393442623,0.9344262295081968,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.22131147540983606,0.8770491803278688,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
speedup≥10%,0.19672131147540983,0.8114754098360656,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
speedup≥15%,0.1721311475409836,0.7622950819672131,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639,0.7786885245901639
speedup≥20%,0.1557377049180328,0.7213114754098361,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
speedup≥25%,0.13114754098360656,0.6639344262295082,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459
speedup≥30%,0.12295081967213115,0.639344262295082,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
speedup≥35%,0.09016393442622951,0.5901639344262295,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803
speedup≥40%,0.08196721311475409,0.5655737704918032,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥45%,0.08196721311475409,0.5573770491803278,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
speedup≥50%,0.07377049180327869,0.5409836065573771,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
