,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.27049180327868855,0.6639344262295082,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459,0.680327868852459
speedup≥5%,0.20491803278688525,0.5737704918032787,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295
speedup≥10%,0.1721311475409836,0.5081967213114754,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263
speedup≥15%,0.1557377049180328,0.45901639344262296,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥20%,0.13934426229508196,0.4262295081967213,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721
speedup≥25%,0.12295081967213115,0.39344262295081966,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951,0.4016393442622951
speedup≥30%,0.10655737704918032,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346,0.36885245901639346
speedup≥35%,0.10655737704918032,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804
speedup≥40%,0.09836065573770492,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637
speedup≥45%,0.09836065573770492,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656
speedup≥50%,0.09836065573770492,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656
