,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.26229508196721313,0.8688524590163934,0.9344262295081968,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
speedup≥5%,0.20491803278688525,0.7868852459016393,0.8524590163934426,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934
speedup≥10%,0.19672131147540983,0.7540983606557377,0.8114754098360656,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
speedup≥15%,0.16393442622950818,0.680327868852459,0.7377049180327869,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377
speedup≥20%,0.13114754098360656,0.6229508196721312,0.680327868852459,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098
speedup≥25%,0.09836065573770492,0.5737704918032787,0.6311475409836066,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574
speedup≥30%,0.08196721311475409,0.5491803278688525,0.6065573770491803,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558
speedup≥35%,0.06557377049180328,0.5163934426229508,0.5737704918032787,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥40%,0.05737704918032787,0.4918032786885246,0.5491803278688525,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
speedup≥45%,0.04918032786885246,0.4426229508196721,0.4918032786885246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥50%,0.04918032786885246,0.4016393442622951,0.45081967213114754,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
