,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.319672131147541,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115
speedup≥5%,0.23770491803278687,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066
speedup≥10%,0.20491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525
speedup≥15%,0.1721311475409836,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721,0.4426229508196721
speedup≥20%,0.1721311475409836,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705
speedup≥25%,0.14754098360655737,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918
speedup≥30%,0.13114754098360656,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017,0.30327868852459017
speedup≥35%,0.12295081967213115,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855,0.27049180327868855
speedup≥40%,0.09016393442622951,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525
speedup≥45%,0.040983606557377046,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115,0.12295081967213115
speedup≥50%,0.00819672131147541,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951
