,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.30327868852459017,0.9508196721311475,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
speedup≥5%,0.2786885245901639,0.8852459016393442,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
speedup≥10%,0.22950819672131148,0.7622950819672131,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147
speedup≥15%,0.18032786885245902,0.7049180327868853,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
speedup≥20%,0.13114754098360656,0.6311475409836066,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
speedup≥25%,0.08196721311475409,0.5737704918032787,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049
speedup≥30%,0.07377049180327869,0.5327868852459017,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
speedup≥35%,0.07377049180327869,0.5163934426229508,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771
speedup≥40%,0.06557377049180328,0.47540983606557374,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
speedup≥45%,0.06557377049180328,0.4426229508196721,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
speedup≥50%,0.06557377049180328,0.4426229508196721,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
