,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.29508196721311475,0.9098360655737705,0.9836065573770492,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246
speedup≥5%,0.27049180327868855,0.8688524590163934,0.9344262295081968,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722
speedup≥10%,0.22131147540983606,0.7540983606557377,0.819672131147541,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
speedup≥15%,0.1557377049180328,0.6475409836065574,0.7131147540983607,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361
speedup≥20%,0.13934426229508196,0.6229508196721312,0.6885245901639344,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098
speedup≥25%,0.10655737704918032,0.5573770491803278,0.6147540983606558,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312
speedup≥30%,0.07377049180327869,0.5163934426229508,0.5655737704918032,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
speedup≥35%,0.06557377049180328,0.5081967213114754,0.5573770491803278,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032
speedup≥40%,0.06557377049180328,0.4918032786885246,0.5409836065573771,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525
speedup≥45%,0.06557377049180328,0.45081967213114754,0.5,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
speedup≥50%,0.06557377049180328,0.4098360655737705,0.45901639344262296,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
