,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.4180327868852459,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.3442622950819672,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426
speedup≥10%,0.21311475409836064,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558
speedup≥15%,0.1721311475409836,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916
speedup≥20%,0.12295081967213115,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426,0.3524590163934426
speedup≥25%,0.06557377049180328,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836,0.1721311475409836
speedup≥30%,0.02459016393442623,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328
speedup≥35%,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
speedup≥40%,0.0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541
speedup≥45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
