,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.3524590163934426,0.9754098360655737,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.9918032786885246
speedup≥5%,0.30327868852459017,0.9016393442622951,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
speedup≥10%,0.20491803278688525,0.7540983606557377,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885
speedup≥15%,0.1721311475409836,0.6885245901639344,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853
speedup≥20%,0.1557377049180328,0.6475409836065574,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082,0.6639344262295082
speedup≥25%,0.13114754098360656,0.5819672131147541,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295
speedup≥30%,0.10655737704918032,0.5163934426229508,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263
speedup≥35%,0.10655737704918032,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
speedup≥40%,0.09836065573770492,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥45%,0.09836065573770492,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
speedup≥50%,0.09836065573770492,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967
