,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.319672131147541,0.9262295081967213,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
speedup≥5%,0.2786885245901639,0.860655737704918,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
speedup≥10%,0.21311475409836064,0.7540983606557377,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656,0.8114754098360656
speedup≥15%,0.1885245901639344,0.6721311475409836,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115
speedup≥20%,0.13114754098360656,0.5819672131147541,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082
speedup≥25%,0.12295081967213115,0.5573770491803278,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803
speedup≥30%,0.09016393442622951,0.5081967213114754,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525
speedup≥35%,0.09016393442622951,0.4672131147540984,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
speedup≥40%,0.09016393442622951,0.45901639344262296,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
speedup≥45%,0.08196721311475409,0.4344262295081967,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
speedup≥50%,0.08196721311475409,0.4262295081967213,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
