,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.19672131147540983,0.639344262295082,0.8032786885245902,0.9180327868852459,0.9180327868852459,0.9590163934426229,0.9672131147540983,0.9672131147540983,0.9754098360655737,0.9836065573770492,1.0
speedup≥5%,0.18032786885245902,0.5983606557377049,0.7540983606557377,0.8688524590163934,0.8688524590163934,0.9098360655737705,0.9180327868852459,0.9180327868852459,0.9262295081967213,0.9344262295081968,0.9508196721311475
speedup≥10%,0.1557377049180328,0.5409836065573771,0.6885245901639344,0.7950819672131147,0.7950819672131147,0.8360655737704918,0.8442622950819673,0.8442622950819673,0.8524590163934426,0.860655737704918,0.8770491803278688
speedup≥15%,0.14754098360655737,0.5,0.6311475409836066,0.7377049180327869,0.7377049180327869,0.7786885245901639,0.7868852459016393,0.7868852459016393,0.7950819672131147,0.8032786885245902,0.819672131147541
speedup≥20%,0.12295081967213115,0.4344262295081967,0.5573770491803278,0.6557377049180327,0.6557377049180327,0.6967213114754098,0.7049180327868853,0.7049180327868853,0.7131147540983607,0.7213114754098361,0.7377049180327869
speedup≥25%,0.11475409836065574,0.4098360655737705,0.5327868852459017,0.6311475409836066,0.6311475409836066,0.6721311475409836,0.680327868852459,0.680327868852459,0.6885245901639344,0.6967213114754098,0.7131147540983607
speedup≥30%,0.09836065573770492,0.36065573770491804,0.48360655737704916,0.5819672131147541,0.5819672131147541,0.6229508196721312,0.6311475409836066,0.6311475409836066,0.639344262295082,0.6475409836065574,0.6639344262295082
speedup≥35%,0.09016393442622951,0.3442622950819672,0.45081967213114754,0.5409836065573771,0.5409836065573771,0.5819672131147541,0.5901639344262295,0.5901639344262295,0.5983606557377049,0.6065573770491803,0.6229508196721312
speedup≥40%,0.09016393442622951,0.3442622950819672,0.45081967213114754,0.5409836065573771,0.5409836065573771,0.5819672131147541,0.5901639344262295,0.5901639344262295,0.5983606557377049,0.6065573770491803,0.6229508196721312
speedup≥45%,0.07377049180327869,0.32786885245901637,0.4098360655737705,0.5,0.5,0.5409836065573771,0.5491803278688525,0.5491803278688525,0.5573770491803278,0.5655737704918032,0.5819672131147541
speedup≥50%,0.07377049180327869,0.32786885245901637,0.4098360655737705,0.5,0.5,0.5409836065573771,0.5491803278688525,0.5491803278688525,0.5573770491803278,0.5655737704918032,0.5819672131147541
