,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.36885245901639346,0.9344262295081968,0.9590163934426229,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.3442622950819672,0.8770491803278688,0.8934426229508197,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951
speedup≥10%,0.27049180327868855,0.7622950819672131,0.7786885245901639,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393
speedup≥15%,0.23770491803278687,0.680327868852459,0.6885245901639344,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098
speedup≥20%,0.20491803278688525,0.639344262295082,0.6475409836065574,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
speedup≥25%,0.1721311475409836,0.5819672131147541,0.5901639344262295,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049
speedup≥30%,0.1557377049180328,0.5245901639344263,0.5327868852459017,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771
speedup≥35%,0.13934426229508196,0.5,0.5081967213114754,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508
speedup≥40%,0.13114754098360656,0.45901639344262296,0.4672131147540984,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥45%,0.13114754098360656,0.4426229508196721,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754,0.45081967213114754
speedup≥50%,0.13114754098360656,0.4098360655737705,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459
