,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.3442622950819672,0.9344262295081968,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
speedup≥5%,0.29508196721311475,0.8442622950819673,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
speedup≥10%,0.23770491803278687,0.7213114754098361,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885
speedup≥15%,0.16393442622950818,0.5901639344262295,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066
speedup≥20%,0.14754098360655737,0.5491803278688525,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295
speedup≥25%,0.13114754098360656,0.5163934426229508,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
speedup≥30%,0.12295081967213115,0.48360655737704916,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5245901639344263
speedup≥35%,0.11475409836065574,0.45081967213114754,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916
speedup≥40%,0.11475409836065574,0.4344262295081967,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
speedup≥45%,0.11475409836065574,0.39344262295081966,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.4262295081967213
speedup≥50%,0.11475409836065574,0.38524590163934425,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459
