,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.4098360655737705,0.9508196721311475,0.9672131147540983,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737
speedup≥5%,0.32786885245901637,0.8114754098360656,0.819672131147541,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
speedup≥10%,0.2786885245901639,0.7295081967213115,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
speedup≥15%,0.2459016393442623,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836
speedup≥20%,0.22950819672131148,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312
speedup≥25%,0.21311475409836064,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049
speedup≥30%,0.16393442622950818,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017
speedup≥35%,0.16393442622950818,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥40%,0.1557377049180328,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
speedup≥45%,0.14754098360655737,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥50%,0.14754098360655737,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
