,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.22950819672131148,0.639344262295082,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
speedup≥5%,0.1885245901639344,0.5737704918032787,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥10%,0.1557377049180328,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
speedup≥15%,0.13114754098360656,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
speedup≥20%,0.11475409836065574,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459,0.4180327868852459
speedup≥25%,0.10655737704918032,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425,0.38524590163934425
speedup≥30%,0.09836065573770492,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804
speedup≥35%,0.09836065573770492,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918,0.3360655737704918
speedup≥40%,0.09836065573770492,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637
speedup≥45%,0.08196721311475409,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475
speedup≥50%,0.08196721311475409,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933,0.28688524590163933
