,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.2786885245901639,0.8524590163934426,0.9098360655737705,0.9180327868852459,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213
speedup≥5%,0.2540983606557377,0.7868852459016393,0.8442622950819673,0.8524590163934426,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918
speedup≥10%,0.22950819672131148,0.7377049180327869,0.7950819672131147,0.7950819672131147,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.8032786885245902
speedup≥15%,0.1885245901639344,0.6639344262295082,0.7213114754098361,0.7213114754098361,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115
speedup≥20%,0.1721311475409836,0.6229508196721312,0.680327868852459,0.680327868852459,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344
speedup≥25%,0.13934426229508196,0.5819672131147541,0.6311475409836066,0.6311475409836066,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082
speedup≥30%,0.11475409836065574,0.5491803278688525,0.5983606557377049,0.5983606557377049,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6065573770491803
speedup≥35%,0.09836065573770492,0.5081967213114754,0.5573770491803278,0.5573770491803278,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032
speedup≥40%,0.09836065573770492,0.48360655737704916,0.5327868852459017,0.5327868852459017,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771
speedup≥45%,0.09836065573770492,0.45901639344262296,0.5081967213114754,0.5081967213114754,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508,0.5163934426229508
speedup≥50%,0.09836065573770492,0.4344262295081967,0.47540983606557374,0.47540983606557374,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916
