,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.36065573770491804,0.9754098360655737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
speedup≥5%,0.32786885245901637,0.9180327868852459,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722
speedup≥10%,0.29508196721311475,0.8114754098360656,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918
speedup≥15%,0.23770491803278687,0.7377049180327869,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377
speedup≥20%,0.1885245901639344,0.6311475409836066,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574,0.6475409836065574
speedup≥25%,0.1721311475409836,0.5983606557377049,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558
speedup≥30%,0.14754098360655737,0.5655737704918032,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥35%,0.14754098360655737,0.5409836065573771,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
speedup≥40%,0.12295081967213115,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
speedup≥45%,0.12295081967213115,0.47540983606557374,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
speedup≥50%,0.11475409836065574,0.45901639344262296,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
