,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.3770491803278688,0.9754098360655737,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
speedup≥5%,0.32786885245901637,0.8934426229508197,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951
speedup≥10%,0.26229508196721313,0.7868852459016393,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7950819672131147
speedup≥15%,0.20491803278688525,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607,0.7131147540983607
speedup≥20%,0.16393442622950818,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558,0.6147540983606558
speedup≥25%,0.13934426229508196,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032,0.5655737704918032
speedup≥30%,0.13934426229508196,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525
speedup≥35%,0.13114754098360656,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
speedup≥40%,0.12295081967213115,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916,0.48360655737704916
speedup≥45%,0.12295081967213115,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984,0.4672131147540984
speedup≥50%,0.12295081967213115,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
