,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.36885245901639346,0.9508196721311475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
speedup≥5%,0.3360655737704918,0.8688524590163934,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
speedup≥10%,0.28688524590163933,0.7786885245901639,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541
speedup≥15%,0.23770491803278687,0.6967213114754098,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
speedup≥20%,0.16393442622950818,0.5983606557377049,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082
speedup≥25%,0.14754098360655737,0.5573770491803278,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049,0.5983606557377049
speedup≥30%,0.11475409836065574,0.5163934426229508,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
speedup≥35%,0.11475409836065574,0.5,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017
speedup≥40%,0.10655737704918032,0.4672131147540984,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥45%,0.10655737704918032,0.4426229508196721,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.47540983606557374
speedup≥50%,0.10655737704918032,0.4262295081967213,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.45901639344262296
