,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.18584070796460178,0.6814159292035398,0.831858407079646,0.8407079646017699,0.8407079646017699,0.8407079646017699,0.8407079646017699,0.8495575221238938,0.8495575221238938,0.8495575221238938,0.8495575221238938
speedup≥5%,0.1504424778761062,0.48672566371681414,0.5929203539823009,0.5929203539823009,0.5929203539823009,0.5929203539823009,0.5929203539823009,0.6017699115044248,0.6017699115044248,0.6017699115044248,0.6017699115044248
speedup≥10%,0.061946902654867256,0.19469026548672566,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957,0.20353982300884957
speedup≥15%,0.02654867256637168,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115
speedup≥20%,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894
speedup≥25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
