,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.12389380530973451,0.37168141592920356,0.6371681415929203,0.7256637168141593,0.8584070796460177,0.9646017699115044,0.9734513274336283,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522
speedup≥5%,0.11504424778761062,0.36283185840707965,0.6283185840707964,0.7168141592920354,0.8495575221238938,0.9557522123893806,0.9646017699115044,0.9734513274336283,0.9734513274336283,0.9734513274336283,0.9734513274336283
speedup≥10%,0.11504424778761062,0.35398230088495575,0.6194690265486725,0.7079646017699115,0.8407079646017699,0.9469026548672567,0.9557522123893806,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044
speedup≥15%,0.08849557522123894,0.3008849557522124,0.5663716814159292,0.6460176991150443,0.7787610619469026,0.8849557522123894,0.8938053097345132,0.9026548672566371,0.9026548672566371,0.9026548672566371,0.9026548672566371
speedup≥20%,0.04424778761061947,0.22123893805309736,0.4778761061946903,0.5575221238938053,0.6902654867256637,0.7964601769911505,0.8053097345132744,0.8141592920353983,0.8141592920353983,0.8141592920353983,0.8141592920353983
speedup≥25%,0.04424778761061947,0.18584070796460178,0.34513274336283184,0.415929203539823,0.5486725663716814,0.6548672566371682,0.6637168141592921,0.6637168141592921,0.6637168141592921,0.6637168141592921,0.6637168141592921
speedup≥30%,0.035398230088495575,0.1592920353982301,0.2920353982300885,0.36283185840707965,0.48672566371681414,0.5929203539823009,0.6017699115044248,0.6017699115044248,0.6017699115044248,0.6017699115044248,0.6017699115044248
speedup≥35%,0.02654867256637168,0.13274336283185842,0.21238938053097345,0.25663716814159293,0.35398230088495575,0.45132743362831856,0.46017699115044247,0.46017699115044247,0.46017699115044247,0.46017699115044247,0.46017699115044247
speedup≥40%,0.02654867256637168,0.11504424778761062,0.17699115044247787,0.22123893805309736,0.30973451327433627,0.40707964601769914,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823
speedup≥45%,0.017699115044247787,0.10619469026548672,0.1592920353982301,0.19469026548672566,0.2831858407079646,0.3805309734513274,0.3893805309734513,0.3893805309734513,0.3893805309734513,0.3893805309734513,0.3893805309734513
speedup≥50%,0.017699115044247787,0.09734513274336283,0.1504424778761062,0.18584070796460178,0.2743362831858407,0.37168141592920356,0.3805309734513274,0.3805309734513274,0.3805309734513274,0.3805309734513274,0.3805309734513274
