,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.8672566371681416,0.6460176991150443,0.4336283185840708,0.168141592920354,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥5%,0.8584070796460177,0.6460176991150443,0.4336283185840708,0.168141592920354,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥10%,0.8407079646017699,0.6371681415929203,0.4247787610619469,0.168141592920354,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥15%,0.7876106194690266,0.6194690265486725,0.415929203539823,0.168141592920354,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥20%,0.7433628318584071,0.5929203539823009,0.3893805309734513,0.1592920353982301,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥25%,0.7168141592920354,0.584070796460177,0.3805309734513274,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.6991150442477876,0.5663716814159292,0.37168141592920356,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.6902654867256637,0.5663716814159292,0.37168141592920356,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.6902654867256637,0.5663716814159292,0.37168141592920356,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.672566371681416,0.5486725663716814,0.36283185840707965,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.672566371681416,0.5486725663716814,0.36283185840707965,0.1504424778761062,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0
