,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.09734513274336283,0.39823008849557523,0.6371681415929203,0.8495575221238938,0.9292035398230089,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044
speedup≥5%,0.07964601769911504,0.37168141592920356,0.6106194690265486,0.8230088495575221,0.9026548672566371,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.9380530973451328
speedup≥10%,0.07079646017699115,0.336283185840708,0.5752212389380531,0.7876106194690266,0.8672566371681416,0.9026548672566371,0.9026548672566371,0.9026548672566371,0.9026548672566371,0.9026548672566371,0.9026548672566371
speedup≥15%,0.05309734513274336,0.2831858407079646,0.504424778761062,0.7168141592920354,0.7964601769911505,0.831858407079646,0.831858407079646,0.831858407079646,0.831858407079646,0.831858407079646,0.831858407079646
speedup≥20%,0.035398230088495575,0.24778761061946902,0.4424778761061947,0.6283185840707964,0.7079646017699115,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071
speedup≥25%,0.02654867256637168,0.21238938053097345,0.3893805309734513,0.5663716814159292,0.6460176991150443,0.6814159292035398,0.6814159292035398,0.6814159292035398,0.6814159292035398,0.6814159292035398,0.6814159292035398
speedup≥30%,0.02654867256637168,0.21238938053097345,0.37168141592920356,0.5398230088495575,0.6106194690265486,0.6460176991150443,0.6460176991150443,0.6460176991150443,0.6460176991150443,0.6460176991150443,0.6460176991150443
speedup≥35%,0.02654867256637168,0.19469026548672566,0.34513274336283184,0.5132743362831859,0.584070796460177,0.6194690265486725,0.6194690265486725,0.6194690265486725,0.6194690265486725,0.6194690265486725,0.6194690265486725
speedup≥40%,0.02654867256637168,0.18584070796460178,0.3274336283185841,0.4778761061946903,0.5486725663716814,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177
speedup≥45%,0.017699115044247787,0.168141592920354,0.3008849557522124,0.45132743362831856,0.5132743362831859,0.5398230088495575,0.5398230088495575,0.5398230088495575,0.5398230088495575,0.5398230088495575,0.5398230088495575
speedup≥50%,0.017699115044247787,0.1415929203539823,0.2743362831858407,0.415929203539823,0.4690265486725664,0.48672566371681414,0.48672566371681414,0.48672566371681414,0.48672566371681414,0.48672566371681414,0.48672566371681414
