,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.20353982300884957,0.584070796460177,0.8584070796460177,0.9646017699115044,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9911504424778761
speedup≥5%,0.168141592920354,0.5398230088495575,0.7876106194690266,0.8938053097345132,0.911504424778761,0.911504424778761,0.911504424778761,0.911504424778761,0.911504424778761,0.911504424778761,0.9203539823008849
speedup≥10%,0.10619469026548672,0.415929203539823,0.6371681415929203,0.7256637168141593,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7522123893805309
speedup≥15%,0.061946902654867256,0.3185840707964602,0.49557522123893805,0.5752212389380531,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177,0.584070796460177,0.5929203539823009
speedup≥20%,0.035398230088495575,0.20353982300884957,0.35398230088495575,0.4247787610619469,0.4336283185840708,0.4336283185840708,0.4336283185840708,0.4336283185840708,0.4336283185840708,0.4336283185840708,0.4424778761061947
speedup≥25%,0.02654867256637168,0.1592920353982301,0.2743362831858407,0.336283185840708,0.336283185840708,0.336283185840708,0.336283185840708,0.336283185840708,0.336283185840708,0.336283185840708,0.336283185840708
speedup≥30%,0.008849557522123894,0.08849557522123894,0.19469026548672566,0.24778761061946902,0.24778761061946902,0.24778761061946902,0.24778761061946902,0.24778761061946902,0.24778761061946902,0.24778761061946902,0.24778761061946902
speedup≥35%,0.008849557522123894,0.05309734513274336,0.061946902654867256,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07079646017699115
speedup≥40%,0.008849557522123894,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168
speedup≥45%,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
