,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.168141592920354,0.415929203539823,0.5398230088495575,0.6548672566371682,0.7610619469026548,0.8495575221238938,0.8849557522123894,0.9646017699115044,0.9823008849557522,0.9911504424778761,0.9911504424778761
speedup≥5%,0.1592920353982301,0.40707964601769914,0.5309734513274337,0.6460176991150443,0.7522123893805309,0.8407079646017699,0.8761061946902655,0.9557522123893806,0.9734513274336283,0.9823008849557522,0.9823008849557522
speedup≥10%,0.1592920353982301,0.40707964601769914,0.5309734513274337,0.6460176991150443,0.7522123893805309,0.8407079646017699,0.8761061946902655,0.9557522123893806,0.9734513274336283,0.9823008849557522,0.9823008849557522
speedup≥15%,0.13274336283185842,0.37168141592920356,0.49557522123893805,0.6106194690265486,0.7168141592920354,0.8053097345132744,0.8407079646017699,0.9203539823008849,0.9380530973451328,0.9469026548672567,0.9469026548672567
speedup≥20%,0.061946902654867256,0.2743362831858407,0.3893805309734513,0.48672566371681414,0.5929203539823009,0.6814159292035398,0.7168141592920354,0.7964601769911505,0.8141592920353983,0.8230088495575221,0.8230088495575221
speedup≥25%,0.04424778761061947,0.23893805309734514,0.3185840707964602,0.40707964601769914,0.5132743362831859,0.6017699115044248,0.6371681415929203,0.7168141592920354,0.7345132743362832,0.7433628318584071,0.7433628318584071
speedup≥30%,0.02654867256637168,0.19469026548672566,0.24778761061946902,0.3274336283185841,0.4247787610619469,0.5132743362831859,0.5486725663716814,0.6283185840707964,0.6460176991150443,0.6548672566371682,0.6548672566371682
speedup≥35%,0.02654867256637168,0.18584070796460178,0.23893805309734514,0.3185840707964602,0.415929203539823,0.504424778761062,0.5398230088495575,0.6194690265486725,0.6371681415929203,0.6460176991150443,0.6460176991150443
speedup≥40%,0.017699115044247787,0.1592920353982301,0.19469026548672566,0.2743362831858407,0.37168141592920356,0.46017699115044247,0.49557522123893805,0.5752212389380531,0.5929203539823009,0.6017699115044248,0.6017699115044248
speedup≥45%,0.017699115044247787,0.1415929203539823,0.1592920353982301,0.23893805309734514,0.336283185840708,0.4247787610619469,0.46017699115044247,0.5398230088495575,0.5575221238938053,0.5575221238938053,0.5575221238938053
speedup≥50%,0.017699115044247787,0.11504424778761062,0.13274336283185842,0.21238938053097345,0.3008849557522124,0.37168141592920356,0.40707964601769914,0.48672566371681414,0.504424778761062,0.504424778761062,0.504424778761062
